phi,N_A,boundary_mode,trials,connected_count,p_hat,ci_low,ci_high,rho,mean_degree_theory
0.005000,354,periodic_connected,1000,925,0.925000,0.906999,0.939748,3.540000e-10,0.902436
0.007000,495,periodic_connected,1000,968,0.968000,0.955175,0.977243,4.950000e-10,1.261881
