r_nm,q_hat,success_count,sample_count,ci_low,ci_high
4300.000000,0.0005000000,1,2000,0.0000882655,0.0028269350
4325.000000,0.0000000000,0,2000,0.0000000000,0.0019171176
4350.000000,0.0005000000,1,2000,0.0000882655,0.0028269350
4375.000000,0.0005000000,1,2000,0.0000882655,0.0028269350
4400.000000,0.0005000000,1,2000,0.0000882655,0.0028269350
4425.000000,0.0000000000,0,2000,0.0000000000,0.0019171176
4450.000000,0.0005000000,1,2000,0.0000882655,0.0028269350
4475.000000,0.0000000000,0,2000,0.0000000000,0.0019171176
4500.000000,0.0005000000,1,2000,0.0000882655,0.0028269350
4525.000000,0.0000000000,0,2000,0.0000000000,0.0019171176
4550.000000,0.0000000000,0,2000,0.0000000000,0.0019171176
4575.000000,0.0000000000,0,2000,0.0000000000,0.0019171176
4600.000000,0.0000000000,0,2000,0.0000000000,0.0019171176
4625.000000,0.0000000000,0,2000,0.0000000000,0.0019171176
4650.000000,0.0000000000,0,2000,0.0000000000,0.0019171176
4675.000000,0.0000000000,0,2000,0.0000000000,0.0019171176
4700.000000,0.0000000000,0,2000,0.0000000000,0.0019171176
4725.000000,0.0000000000,0,2000,0.0000000000,0.0019171176
4750.000000,0.0005000000,1,2000,0.0000882655,0.0028269350
4775.000000,0.0000000000,0,2000,0.0000000000,0.0019171176
4800.000000,0.0000000000,0,2000,0.0000000000,0.0019171176
4825.000000,0.0000000000,0,2000,0.0000000000,0.0019171176
4850.000000,0.0000000000,0,2000,0.0000000000,0.0019171176
4875.000000,0.0000000000,0,2000,0.0000000000,0.0019171176
4900.000000,0.0000000000,0,2000,0.0000000000,0.0019171176
4925.000000,0.0000000000,0,2000,0.0000000000,0.0019171176
4950.000000,0.0000000000,0,2000,0.0000000000,0.0019171176
4975.000000,0.0000000000,0,2000,0.0000000000,0.0019171176
5000.000000,0.0000000000,0,2000,0.0000000000,0.0019171176
5025.000000,0.0000000000,0,2000,0.0000000000,0.0019171176
5050.000000,0.0000000000,0,2000,0.0000000000,0.0019171176
5075.000000,0.0000000000,0,2000,0.0000000000,0.0019171176
5100.000000,0.0000000000,0,2000,0.0000000000,0.0019171176
